timestamp,open,high,low,close,volume
2022-03-22,128.5000,129.3000,127.8500,129.0600,2649026
2022-03-21,129.0000,129.7400,127.4000,128.1000,3379393
2022-03-18,127.3800,128.9300,126.3700,128.7600,7400216
2022-03-17,127.1000,128.2900,126.5300,127.9600,3671903
2022-03-16,126.5000,127.2842,124.7100,127.0400,4292845
2022-03-15,124.0000,125.9398,123.2200,125.6400,4021228
2022-03-14,124.4500,125.1600,122.6850,123.9400,3289440
2022-03-11,125.0000,126.7700,123.9100,123.9600,4119630
2022-03-10,125.7500,126.0300,123.1250,124.3500,5326835
2022-03-09,127.4100,128.1000,125.9100,126.2200,4403499
2022-03-08,126.6200,128.3450,124.8200,125.6800,4887565
2022-03-07,126.4700,127.9050,125.6200,126.0700,5047358
2022-03-04,124.4000,127.3500,124.2103,126.6200,4402911
2022-03-03,124.9600,126.6650,124.2351,125.9300,5206649
2022-03-02,122.5900,124.6400,121.8000,123.8600,4891435
2022-03-01,122.6700,123.3900,120.7000,121.3500,4873331
2022-02-28,122.2100,123.3851,121.0388,122.5100,6757332
2022-02-25,122.0500,124.2625,121.4500,124.1800,4460904
2022-02-24,120.0000,122.1000,118.8100,121.9700,6563202
2022-02-23,124.3800,124.7000,121.8700,122.0700,4086367
2022-02-22,124.2000,125.0000,122.6800,123.9200,5306688
2022-02-18,124.9400,125.4400,123.6100,124.3500,4609212
2022-02-17,128.0500,128.5000,124.8500,124.9700,6796997
2022-02-16,129.4500,130.4400,128.2600,129.1800,4875612
2022-02-15,130.6400,131.6800,129.6100,129.9400,4395714
2022-02-14,132.5900,132.6500,129.0700,130.1500,5345289
2022-02-11,133.9000,134.7099,132.3800,132.6900,4176155
2022-02-10,135.4700,136.5600,133.1700,133.5200,5978640
2022-02-09,137.8400,138.3500,136.8300,137.7900,5393478
2022-02-08,137.2300,137.5200,135.7800,137.0200,4181825
2022-02-07,137.4500,137.8223,136.2700,137.2400,3759046
2022-02-04,137.8600,138.8200,136.2150,137.1500,4142045
2022-02-03,137.0000,138.7600,135.8310,137.7800,6100777
2022-02-02,135.7000,137.5550,135.2600,137.2500,5357237
2022-02-01,133.7600,135.9600,132.5000,135.5300,6206448
2022-01-31,134.0900,134.0900,132.3000,133.5700,5859043
2022-01-28,133.1900,134.5300,131.7900,134.5000,5471497
2022-01-27,133.6600,134.7500,132.0800,132.5200,5499566
2022-01-26,136.4700,137.0700,133.1300,134.2600,8335992
2022-01-25,129.1400,137.3361,128.3000,136.1000,19715698
2022-01-24,127.9900,129.1500,124.1930,128.8200,13777648
2022-01-21,131.6500,131.8700,129.2700,129.3500,5906950
2022-01-20,131.2600,132.8800,130.5705,130.8200,5278244
2022-01-19,132.9000,133.9000,131.5000,131.5800,4099035
2022-01-18,132.9500,133.8900,131.7800,132.9400,5236258
2022-01-14,134.5500,135.1400,133.3000,134.2100,5310305
2022-01-13,133.9000,136.0500,133.5600,134.7600,4868349
2022-01-12,133.2500,134.4700,131.3700,133.5900,5352014
2022-01-11,130.5200,133.2500,127.9700,132.8700,11081210
2022-01-10,134.4700,136.2000,133.3800,135.0300,5432807
2022-01-07,134.9000,135.6618,133.5111,134.8300,5238099
2022-01-06,138.2000,138.4099,132.5100,135.3400,9908081
2022-01-05,138.3100,142.2000,137.8800,138.2200,8956910
2022-01-04,136.1000,139.9500,135.9000,138.0200,7300011
2022-01-03,134.0700,136.2950,133.6300,136.0400,4610665
2021-12-31,134.0000,134.9900,133.6100,133.6600,3315313
2021-12-30,133.7500,134.3700,133.3300,133.9100,3158111
2021-12-29,132.4000,134.2100,132.3000,133.3500,4239935
2021-12-28,131.6000,133.2200,131.5900,132.6300,3447079
2021-12-27,130.6300,131.6500,129.9500,131.6200,4294499
2021-12-23,130.0000,130.9600,129.5200,130.6300,3649044
2021-12-22,129.0600,129.7900,127.6000,129.7500,3923198
2021-12-21,127.6600,129.3356,127.6600,128.9700,4855972
2021-12-20,125.7200,127.2000,124.7000,127.0600,4941411
2021-12-17,125.8700,128.6400,125.2093,127.4000,10382693
2021-12-16,123.5100,126.6399,123.4750,125.9300,7280537
2021-12-15,123.8000,124.8150,122.1800,123.1100,4990028
2021-12-14,122.3500,125.0300,122.3000,123.7600,5716124
